iso3_country,location,sector,year,total_emission
BOL,Santa Cruz,power,2025,0.0
BOL,Santa Cruz,transportation,2025,219.2301909864736
BOL,Santa Cruz,waste,2025,9037.086960904524
BOL,Santa Cruz,agriculture,2026,104302.36906335912
BOL,Santa Cruz,buildings-fuel-use,2026,109.0056669478238
BOL,Santa Cruz,fossil-fuel-operations,2026,45981.438667301554
BOL,Santa Cruz,land-use-change,2026,6.960356241524103e-10
BOL,Santa Cruz,manufacturing,2026,116.97564564497844
BOL,Santa Cruz,power,2026,0.0
BOL,Santa Cruz,transportation,2026,90.38819027697204
BOL,Santa Cruz,waste,2026,3848.773835193661
BRA,Espírito Santo,agriculture,2021,127377.874061913
BRA,Espírito Santo,buildings-fuel-use,2021,2903.312314269752
BRA,Espírito Santo,fossil-fuel-operations,2021,8333.994770989415
BRA,Espírito Santo,land-use-change,2021,60.31617430287122
BRA,Espírito Santo,manufacturing,2021,797.8535812721332
BRA,Espírito Santo,power,2021,0.0
BRA,Espírito Santo,transportation,2021,267.4010269083672
BRA,Espírito Santo,waste,2021,48009.26777288559
BRA,Espírito Santo,agriculture,2022,120558.045590544
BRA,Espírito Santo,buildings-fuel-use,2022,2870.1752516536194
BRA,Espírito Santo,fossil-fuel-operations,2022,7568.1542604847955
BRA,Espírito Santo,land-use-change,2022,60.92377812897946
BRA,Espírito Santo,manufacturing,2022,856.6071529798259
BRA,Espírito Santo,power,2022,0.0
BRA,Espírito Santo,transportation,2022,272.94791874620864
BRA,Espírito Santo,waste,2022,48299.88100516812
BRA,Espírito Santo,agriculture,2023,122378.77009196785
BRA,Espírito Santo,buildings-fuel-use,2023,2900.5188195971627
BRA,Espírito Santo,fossil-fuel-operations,2023,8262.315175303516
BRA,Espírito Santo,land-use-change,2023,75.05161869837353
BRA,Espírito Santo,manufacturing,2023,801.8932699839172
BRA,Espírito Santo,power,2023,0.0
BRA,Espírito Santo,transportation,2023,277.1289435505571
BRA,Espírito Santo,waste,2023,48498.55244260471
BRA,Espírito Santo,agriculture,2024,122050.10146369704
BRA,Espírito Santo,buildings-fuel-use,2024,2926.700883575176
BRA,Espírito Santo,fossil-fuel-operations,2024,5292.504064962378
BRA,Espírito Santo,land-use-change,2024,68.50918544925192
BRA,Espírito Santo,manufacturing,2024,801.8932698821235
BRA,Espírito Santo,power,2024,0.0
BRA,Espírito Santo,transportation,2024,280.8377072407839
BRA,Espírito Santo,waste,2024,48416.46871484785
BRA,Espírito Santo,agriculture,2025,122196.0392810778
BRA,Espírito Santo,buildings-fuel-use,2025,2945.0088616711355
BRA,Espírito Santo,fossil-fuel-operations,2025,7099.90171439788
BRA,Espírito Santo,land-use-change,2025,67.35854331645085
BRA,Espírito Santo,manufacturing,2025,801.8932698900607
BRA,Espírito Santo,power,2025,0.0
BRA,Espírito Santo,transportation,2025,291.3215289247936
BRA,Espírito Santo,waste,2025,48330.64459215882
BRA,Espírito Santo,agriculture,2026,50678.06416139311
BRA,Espírito Santo,buildings-fuel-use,2026,1200.0416263066618
BRA,Espírito Santo,fossil-fuel-operations,2026,2886.0167502960267
BRA,Espírito Santo,land-use-change,2026,19.00179635103389
BRA,Espírito Santo,manufacturing,2026,333.4627704152292
BRA,Espírito Santo,power,2026,0.0
BRA,Espírito Santo,transportation,2026,120.71527012380308
BRA,Espírito Santo,waste,2026,20163.26367204502
BRA,Goiás,agriculture,2021,1202015.9049151214
BRA,Goiás,buildings-fuel-use,2021,4749.986884567788
BRA,Goiás,fossil-fuel-operations,2021,1160.3989958449945
BRA,Goiás,land-use-change,2021,42898.615560961625
BRA,Goiás,manufacturing,2021,1387.2442077245837
BRA,Goiás,power,2021,0.0
BRA,Goiás,transportation,2021,599.1713059556805
BRA,Goiás,waste,2021,85235.61401015025
BRA,Goiás,agriculture,2022,1214795.5213261126
BRA,Goiás,buildings-fuel-use,2022,4698.648594090328
BRA,Goiás,fossil-fuel-operations,2022,1752.981292354125
BRA,Goiás,land-use-change,2022,49870.59631274306
BRA,Goiás,manufacturing,2022,1490.131349747064
BRA,Goiás,power,2022,0.0
BRA,Goiás,transportation,2022,609.401347119746
BRA,Goiás,waste,2022,85752.95061596746
BRA,Goiás,agriculture,2023,1225715.3890366943
BRA,Goiás,buildings-fuel-use,2023,4844.382339976235
BRA,Goiás,fossil-fuel-operations,2023,810.0518449896069
BRA,Goiás,land-use-change,2023,52759.36749142245
BRA,Goiás,manufacturing,2023,1394.9180597653312
BRA,Goiás,power,2023,0.0
BRA,Goiás,transportation,2023,617.0682743889301
BRA,Goiás,waste,2023,86096.21450815658
BRA,Goiás,agriculture,2024,1222182.024822044
BRA,Goiás,buildings-fuel-use,2024,4901.466223643832
BRA,Goiás,fossil-fuel-operations,2024,1612.3447387260387
BRA,Goiás,land-use-change,2024,52635.44418063777
BRA,Goiás,manufacturing,2024,1394.9180595511662
BRA,Goiás,power,2024,0.0
BRA,Goiás,transportation,2024,630.2438456788459
BRA,Goiás,waste,2024,85961.20859322762
BRA,Goiás,agriculture,2025,1224383.0867318637
BRA,Goiás,buildings-fuel-use,2025,4944.791778314485
BRA,Goiás,fossil-fuel-operations,2025,1612.3447387246138
BRA,Goiás,land-use-change,2025,51557.708255933205
BRA,Goiás,manufacturing,2025,1394.9180595650184
BRA,Goiás,power,2025,0.0
BRA,Goiás,transportation,2025,635.7453650666924
BRA,Goiás,waste,2025,85820.28637280759
BRA,Goiás,agriculture,2026,508250.9011620876
BRA,Goiás,buildings-fuel-use,2026,2033.2292555263848
BRA,Goiás,fossil-fuel-operations,2026,671.4237822070304
BRA,Goiás,land-use-change,2026,17696.56853795674
BRA,Goiás,manufacturing,2026,580.0642891469627
BRA,Goiás,power,2026,0.0
BRA,Goiás,transportation,2026,264.6642451762513
BRA,Goiás,waste,2026,35785.14650559106
BRA,Minas Gerais,agriculture,2021,1717806.8976992485
BRA,Minas Gerais,buildings-fuel-use,2021,15448.703010142472
BRA,Minas Gerais,fossil-fuel-operations,2021,3070.4809323365585
BRA,Minas Gerais,land-use-change,2021,80387.02875662476
BRA,Minas Gerais,manufacturing,2021,3553.568195699585
BRA,Minas Gerais,power,2021,0.0
BRA,Minas Gerais,transportation,2021,1430.7600269613993
BRA,Minas Gerais,waste,2021,243724.5223920572
BRA,Minas Gerais,agriculture,2022,1686582.1624448043
BRA,Minas Gerais,buildings-fuel-use,2022,15318.751908094666
BRA,Minas Gerais,fossil-fuel-operations,2022,4578.844005945683
BRA,Minas Gerais,land-use-change,2022,95619.7629160255
BRA,Minas Gerais,manufacturing,2022,3810.147149744099
BRA,Minas Gerais,power,2022,0.0
BRA,Minas Gerais,transportation,2022,1448.3735194093283
BRA,Minas Gerais,waste,2022,244845.29784801128
BRA,Minas Gerais,agriculture,2023,1711265.8214412949
BRA,Minas Gerais,buildings-fuel-use,2023,15215.100248229764
BRA,Minas Gerais,fossil-fuel-operations,2023,2197.9015989845907
BRA,Minas Gerais,land-use-change,2023,104041.44578897266
