iso3_country,location,year,month,sector,sub_sector,total_emission
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,other-fossil-fuel-operations,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,other-mining-quarrying,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,other-solid-fuels,44.797683761667045
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,rock-quarrying,0.0
ARG,Buenos Aires,2021,2,Fossil Fuel Extraction & Mining,sand-quarrying,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,aluminum,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,cement,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,chemicals,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,fluorinated-gases,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,food-beverage-tobacco,54.06673965170364
ARG,Buenos Aires,2021,2,Manufacturing & Industry,glass,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,iron-and-steel,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,lime,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,other-chemicals,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,other-manufacturing,76.67178507847812
ARG,Buenos Aires,2021,2,Manufacturing & Industry,other-metals,13.964843969234469
ARG,Buenos Aires,2021,2,Manufacturing & Industry,petrochemical-steam-cracking,230.39928033333325
ARG,Buenos Aires,2021,2,Manufacturing & Industry,pulp-and-paper,0.0
ARG,Buenos Aires,2021,2,Manufacturing & Industry,textiles-leather-apparel,37.36196568184466
ARG,Buenos Aires,2021,2,Manufacturing & Industry,wood-and-wood-products,0.2953734632128916
ARG,Buenos Aires,2021,2,Power & Heat,electricity-generation,0.0
ARG,Buenos Aires,2021,2,Power & Heat,heat-plants,0.0
ARG,Buenos Aires,2021,2,Power & Heat,water-reservoirs,7.194204557
ARG,Buenos Aires,2021,2,Transportation,domestic-aviation,0.1686607642248581
ARG,Buenos Aires,2021,2,Transportation,domestic-shipping,1.106079680387689
ARG,Buenos Aires,2021,2,Transportation,international-aviation,0.4474548152102953
ARG,Buenos Aires,2021,2,Transportation,international-shipping,1.3117315508969891
ARG,Buenos Aires,2021,2,Transportation,non-broadcasting-vessels,0.0
ARG,Buenos Aires,2021,2,Transportation,other-transport,0.7189281871692982
ARG,Buenos Aires,2021,2,Transportation,railways,0.0
ARG,Buenos Aires,2021,2,Transportation,road-transportation,79.57937937600524
ARG,Buenos Aires,2021,2,Waste,biological-treatment-of-solid-waste-and-biogenic,0.0
ARG,Buenos Aires,2021,2,Waste,domestic-wastewater-treatment-and-discharge,2484.688543482633
ARG,Buenos Aires,2021,2,Waste,incineration-and-open-burning-of-waste,17.058554056451957
ARG,Buenos Aires,2021,2,Waste,industrial-wastewater-treatment-and-discharge,1467.1151177015113
